Region, Section, Index, State, EmptyTime, Bookmark
GJGQ,2,28,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,2,29,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,2,30,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,2,31,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,2,32,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,2,33,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,2,34,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,2,35,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,2,36,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,2,37,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,2,38,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,2,39,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,2,40,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,2,41,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,2,42,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,2,43,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,2,44,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,2,45,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,2,46,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,2,47,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,2,48,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,2,49,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,2,50,EMPTY,12/20/2019 6:02:35 PM,False
GJGQ,2,51,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,2,52,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,2,53,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,2,54,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,2,55,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,2,56,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,2,57,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,2,58,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,2,59,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,0,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,1,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,2,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,3,3,OCCUPIED,12/31/9999 11:59:59 PM,False
